exercise_id,exercise_name,aliases,primary_muscle,secondary_muscles,muscle_group,equipment,category,movement_pattern,exercise_type,mechanics,force,difficulty,unilateral,bodyweight,default_sets,default_rep_range,tracking_type,parent_exercise,search_keywords,notes
ex-0001-barbell-curl,Barbell Curl,,Biceps,Brachialis|Forearms,Arms,Barbell,Strength,Elbow Flexion,Resistance,Isolation,Pull,Beginner,false,false,3,8-15,reps,Biceps Curl,bicep curl arms,
ex-0002-bayesian-cable-curl,Bayesian Cable Curl,,Biceps,Brachialis|Forearms,Arms,Cable,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0003-bench-dip,Bench Dip,,Triceps,,Arms,Bodyweight,Strength,Elbow Extension,Calisthenics,Compound,Push,Intermediate,false,true,3,8-15,reps,Triceps Extension,tricep extension arms,
ex-0004-cable-curl,Cable Curl,,Biceps,Brachialis|Forearms,Arms,Cable,Strength,Elbow Flexion,Resistance,Isolation,Pull,Beginner,false,false,3,8-15,reps,Biceps Curl,bicep curl arms,
ex-0005-close-grip-barbell-curl,Close-Grip Barbell Curl,,Biceps,Brachialis|Forearms,Arms,Barbell,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0006-close-grip-cable-curl,Close-Grip Cable Curl,,Biceps,Brachialis|Forearms,Arms,Cable,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0007-close-grip-ez-bar-curl,Close-Grip EZ-Bar Curl,,Biceps,Brachialis|Forearms,Arms,EZ-Bar,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0008-concentration-cable-curl,Concentration Cable Curl,,Biceps,Brachialis|Forearms,Arms,Cable,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0009-concentration-dumbbell-curl,Concentration Dumbbell Curl,,Biceps,Brachialis|Forearms,Arms,Dumbbells,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
ex-0010-concentration-hammer-curl,Concentration Hammer Curl,,Biceps,Brachialis|Forearms,Arms,Dumbbells,Strength,Elbow Flexion,Resistance,Isolation,Pull,Intermediate,false,false,3,8-15,reps,Biceps Curl,curl variation,
